Baby Girl  Names Registered in 2004,
1,Neshanel
1,Neteja
1,Neva
1,Nevaah
4,Nevada
17,Nevaeh
1,Nevaeha
1,Neve
2,Neveah
1,Ngan
1,Ngila
2,Ngoc
1,Nhi
1,Nhien
1,Nhumay
3,Nia
1,Niah
1,Niamh
1,Niayesh
1,Nicalynn
2,Nichole
1,Nickolla
1,Nicky
2,Nicola
59,Nicole
#,Baby Girl  Names
3,Nicolette
1,Nicolle
1,Nida
1,Nigel
1,Nigella
1,Nika
1,Nikala
1,Nikaneet
1,Nikesha
1,Niki
3,Nikita
1,Nikka
2,Nikki
1,NikkoLi
1,Nikola
1,Nikole
1,Nikya
1,Nila
1,Nilab
1,Nilah
1,Nilufer
1,Nilya
1,Nimisha
1,Nimrit
1,Nimue
1,Nimuë
9,Nina
1,Nishika
1,Nithya
2,Niya
1,Niyah
1,N'Keayah
1,Nmarg
1,Noah
1,Nobel
1,Noél
9,Noelle
1,Nolen
1,Noli
1,Noopur
5,Noor
1,Nooralhouda
1,Noorarshdeep
1,Noorfatima
1,Nooria
1,Noorkamel
1,Noorpreet
1,NoorUlAnne
7,Nora
12,Norah
1,NoraJane
#,Baby Girl  Names
2,Noreen
4,Nour
3,Nova
3,Novalee
1,Nowshin
2,Nuha
1,Nur
6,Nya
1,Nyabol
1,Nyachade
1,Nyachol
1,Nyagai
1,Nyaguich
9,Nyah
1,NyahDawn
1,Nyakier
1,Nyakueth
2,Nyakuoth
1,Nyakurthe
1,Nyalat
1,Nyaletni
1,Nyaling
1,Nyalow
1,Nyanath
1,Nyankier
1,Nyarac
1,Nyariak
1,Nyaruach
1,Nyasia
1,Nyathiech
1,Nyemuon
1,Nykesha
5,Nyla
1,Nylah
1,Nylanna
1,Nyomie
2,Nyssa
1,Oakley
6,Ocean
1,Océane
1,Oceania
2,Oceanna
2,Odessa
1,Oella
1,Ojalpreet
1,OksanaMaria
1,Ola
1,Olea
1,Olena
3,Olive
149,Olivia
#,Baby Girl  Names
1,Oluwakare
1,Oluwasayo
1,Oluwatoni
1,Olyvia
1,Omama
1,Onawa
1,Ondrah
1,Onestie
1,Oona
1,Opal
1,Ore
1,Oriana
1,Orion
1,Oriya
1,Oryanna
1,Osean
1,Osheanna
1,Oskya
1,Osnat
1,Paetyn
110,Paige
1,Paighton
1,Pairs
2,Paisley
1,Paiton
1,Paityn
1,Paizley
1,Paje
2,Palak
1,Palesa
1,Pallavi
1,Pallma
1,Palwinder
1,Pamalpreet
2,Pamela
1,Panphila
20,Paris
1,Parjeet
6,Parker
3,Parneet
1,Parveen
1,Pascale
1,Passion
2,Patience
1,Patrica
5,Patricia
1,Patrycja
1,Paula
1,Pauletta
6,Paulina
2,Pauline
#,Baby Girl  Names
1,Pavandip
2,Pavneet
2,Paxyn
1,Payal
3,Payge
1,Paytan
1,Payten
36,Payton
1,Paytton
2,Paytyn
1,Peaches
1,PeggySue
1,Pei
2,Peighton
1,Penny
1,Peri
1,Perodi
1,Persaya
2,Persephone
2,Petra
1,Petrina
1,Peyj
1,Peyten
32,Peyton
1,Phaedra
1,Pheobe
1,Pheobeeann
1,Pheonix
1,Pheonyx
1,Philamena
1,Philumena
7,Phoebe
6,Phoenix
2,Phyllis
2,Pia
18,Piper
1,PiPon
1,Pkao
1,Polina
1,Poni
1,Poppy
1,Porche
3,Portia
1,Prabhleen
1,Prabhnoor
1,Prabhreet
1,Prableen
1,Prairie
7,Precious
2,Preet
1,Prerna
#,Baby Girl  Names
3,Preslee
9,Presley
1,Pressly
1,Prestan
1,Prianka
4,Princess
1,Priscella
1,Priscila
5,Priscilla
2,Pritika
7,Priya
2,Pyper
1,Quanalee
1,Queyonnee
2,Quiana
1,QuincyAnn
1,Quinéa
1,Quinlan
9,Quinn
1,QuinnTaylor
1,Quinzie
1,Quynlan
1,Quynn
1,Qwynn
1,Rableen
7,Rachael
4,Racheal
73,Rachel
1,Rachelana
1,Rachele
6,Rachelle
1,Racquelle
1,Radha
1,Raeanna
2,Raeanne
1,Raeden
1,Raedon
9,Raegan
1,Raegen
1,Raeghan
1,RaeLee
1,RaeLeigh
1,Raeley
3,Raelyn
3,Raelynn
1,RaeLynn
1,Raeton
1,Raeven
1,Rahaf
1,Rahat
1,Raheena
#,Baby Girl  Names
1,Rahnay
1,Raighn
1,Raimee
4,Rain
4,Raina
3,Raine
1,Rainna
1,Raistlin
1,Rajvir
1,Rakda
1,Rakiya
1,Rameen
1,Rameet
1,Rameezah
1,Ramisa
1,Ramma
1,Ramsay
1,Rana
4,Randi
1,Randilee
1,RandlynnaRose
1,Rane
1,Rania
1,Rannah
2,Ranya
9,Raquel
1,Raquél
1,Raquelle
1,Rattaninder
1,Ravdeep
1,RaveenKaur
9,Raven
1,Ravin
1,Ravndeep
1,Ravneet
1,RawanAbraheem
5,Raya
2,Rayah
3,Rayan
1,RayanAbd
2,Rayann
3,Rayanne
1,RayAnne
1,Rayden
1,Raydin
2,Raye
1,Rayell
1,Rayelle
1,Rayleen
1,Rayleigh
1,Raylene
#,Baby Girl  Names
1,Rayly
9,Rayna
1,Raynah
6,Rayne
1,Rayvin
1,Rayzilee
1,Razan
5,Reagan
2,Reagen
1,Reaghan
4,Reanna
3,Reanne
1,Réanne
1,Rebbekkah
2,Rebeca
68,Rebecca
1,RebeccaMae
2,Rebecka
12,Rebekah
2,Rebekkah
1,Rechelle
1,Rediate
7,Reece
4,Reegan
1,Reeha
2,Reem
2,Reema
15,Reese
1,Reet
1,Reeya
1,Reeyan
9,Regan
1,Regena
1,Reghan
1,Regina
1,Rehaam
1,Reham
1,Rehnaz
1,Reighley
1,Reilly
2,Reina
1,Remal
1,RemiMarie
1,Remington
1,Ren
2,Rena
2,Renae
2,Renata
1,Rendene
1,Rene
4,Renee
#,Baby Girl  Names
3,Renée
1,Reneigh
1,Renita
1,Reya
1,Reyan
1,Reyhana
1,Rhaine
1,Rhakia
1,Rhayna
5,Rhea
1,Rheagyn
1,RheaLee
2,Rheanna
2,Rheanne
1,Rheya
2,Rhian
7,Rhiannon
2,Rhoda
1,Rhubab
1,Rhyann
1,Rhylan
1,Rhylee
1,Rhylie
1,Rhys
1,Rhyse
1,Rhythm
6,Ria
2,Rian
1,Riann
3,Rianna
1,Rianne
1,Riayn
1,Ricaela
1,Ricca
1,Richael
2,Richelle
1,Rickelle
1,Ricki
1,RickiAnn
1,Rida
1,Ridleigh
2,Ridley
1,Riealla
1,Rieley
1,Rihan
1,Rika
1,Rikell
1,Rikki
1,Rikul
2,Rilee
1,Rileigh
#,Baby Girl  Names
26,Riley
2,Rilyn
1,Rinoa
2,Rio
1,Ripley
1,Risa
2,Rita
1,RitaAnne
3,River
1,Rivka
5,Riya
1,Roanne
1,Roary
3,Roberta
6,Robin
16,Robyn
1,Robynn
2,Rochelle
1,Rockley
1,Rodas
1,Roderica
1,Roewyn
2,Rola
1,Romaisa
1,Romanda
1,Romeesa
2,Romy
1,Ronia
1,Ronica
1,Ronnie
2,Rori
1,Rorie
4,Rory
3,Rosa
1,Rosabelle
3,Rosanna
1,Rosca
3,Rose
1,Rosela
1,Roselynn
1,RoseMarie
1,Rosemary
1,Rosha
1,Roshea
1,Rosheen
1,Roshney
1,Rosi
1,Rosie
18,Rowan
1,Rowen
1,Rowenna
#,Baby Girl  Names
1,Rowyn
1,Roxanna
2,Roxanne
1,Roxy
1,Rubab
1,Rubie
17,Ruby
1,Ruhi
1,Rumaisa
1,Ruo
1,Rupali
1,Rupam
1,Rupinder
1,Russecetta
9,Ruth
1,Ruthanne
2,Ruthie
1,Rya
6,Ryan
6,Ryann
1,Ry'ann
1,Ryanna
1,RyAnne
1,Ryanne
1,Rybbon
1,Ryder
1,RyderDayne
1,Ryeleigh
1,Ryen
1,Ryenne
1,Ryilee
3,Rylan
2,Rylea
34,Rylee
4,Ryleigh
2,Rylen
7,Ryley
9,Rylie
2,Rylyn
2,Rylynn
1,Rym
1,Saadurya
1,Saara
1,Saba
1,Sabaashukra
1,Sabbiqa
1,Sabeen
2,Sabina
1,Sabine
1,Sable
1,Sabree
#,Baby Girl  Names
1,Sabrin
16,Sabrina
1,Sacha
1,Sachi
2,Sadaf
1,Sadee
1,Sadey
21,Sadie
2,Safa
2,Safia
2,Safiya
20,Sage
1,Sagelyne
1,Sahaana
2,Sahana
1,Sahar
2,Sahara
1,Saharah
1,Sahvannah
1,Sai
1,Saidah
1,Saidie
6,Saige
1,Saima
1,Sainte
1,Saira
1,Saja
1,Sajani
1,Sajil
1,Sakastew
1,Sakura
1,Sakurako
1,Saleiah
1,Salem
2,Salena
1,Salihah
1,SalihahRuh
1,Salina
1,Sally
2,Salma
2,Salomea
1,Salvel
2,Sama
1,Saman
96,Samantha
1,SamanthaRose
12,Samara
1,Samarah
1,Sameen
1,Sami
1,Samia
#,Baby Girl  Names
1,Samira
1,Samiya
1,Sammi
1,Samrawit
5,Sana
1,Sanaa
1,Sandra
1,Sandrine
3,Sandy
1,Saniel
1,Sanja
1,Sanjna
3,Sanna
2,Santana
1,Santanika
2,Santanna
1,Santaya
1,Santera
1,Santina
4,Saoirse
1,Saphia
1,Saphina
1,Saphire
1,Saphra
1,Saphron
1,Sapphire
63,Sara
2,Sarafina
200,Sarah
1,SarahFaith
1,SarahJane
1,SarahVictoria
1,Sarai
1,Saraka
1,Saralee
1,SaraMarie
1,Sardeep
1,Sareena
1,Sarena
1,Sarene
1,Sarenity
2,Sariah
1,Sarica
2,Sarina
1,Sarisha
1,Sarita
1,Sarjana
1,Saryssa
1,Sa_a
1,Sascha
19,Sasha
#,Baby Girl  Names
1,SashaMarie
1,Saskia
1,Satina
1,Sativa
1,Satnam
1,Satyra
1,Sauhe
4,Savana
4,Savanah
12,Savanna
44,Savannah
1,SavannahJade
1,Savaya
1,Savina
1,Savreet
1,Sawsha
1,Sawyer
1,Saxyn
2,Saydee
3,Sayge
1,Sayia
1,Saylor
2,Scarlet
2,Scarlett
1,Schuyler
1,Schyler
2,Scotia
1,Scout
1,Seairrah
1,Seanan
5,Seanna
1,Seeret
1,Sehajman
1,Seija
2,Sejal
1,Sejwd
1,Sela
1,Sele
1,Seleena
7,Selena
8,Selina
2,Selma
1,Selynna
1,Semarity
1,Semiramis
1,Senga
2,Senna
1,Sephira
1,Sequoia
1,Serafina
1,Serejane
#,Baby Girl  Names
20,Serena
1,Serenady
1,Serenan
1,Serene
15,Serenity
1,Serenna
1,Serianna
1,Seriena
3,Serina
1,Serrae
1,Sesh
1,Sewit
1,Shabnam
1,Shade
1,Shadoe
1,Shady
8,Shae
1,Shael
2,Shaela
1,Shaelee
10,Shaelyn
6,Shaelynn
2,ShaeLynn
1,Shaganpreet
2,Shahana
1,Shahed
1,Shaheena
1,Shahla
1,Shainah
1,Shaine
1,Shainna
6,Shakira
1,Shakya
1,Shalala
2,Shaleen
1,Shalene
1,Shalina
1,Shalini
1,Shalleena
1,Shalon
2,Shalyn
1,Shalynn
1,ShamraAnn
4,Shanae
1,Shanai
1,Shanay
1,Shancey
1,Shandi
4,Shanelle
1,Shani
3,Shania
#,Baby Girl  Names
1,Shanice
1,Shanille
1,Shanine
1,Shanita
1,Shaniza
1,ShannaMae
1,Shannara
1,Shannel
1,Shannen
7,Shannon
1,Shanoa
1,Shantasia
1,Shante
1,Shantel
1,Shantina
1,Shanza
1,Sharada
2,Sharayah
1,Shardae
1,Shardelle
1,Shareena
1,Shari
1,Sharla
1,SharLee
1,Sharlene
1,Sharlize
1,Sharllette
1,Sharlyze
1,Sharmain
1,Sharon
1,Shashawna
1,Shaunie
1,Shaunti
1,Shavauna
1,Shavonna
1,Shavonne
1,Shavreen
1,Shawhista
2,Shawna
1,ShawnaLise
1,Shawnte
5,Shay
1,ShayAnn
1,Shaycelynn
6,Shaye
26,Shayla
1,Shaylah
1,ShaylaMay
1,ShaylaRae
1,Shaylea
6,Shaylee
#,Baby Girl  Names
1,Shayleen
1,Shaylena
2,Shaylene
3,Shaylyn
1,Shaylyne
9,Shaylynn
1,ShayLynn
1,ShaylynneRose
6,Shayna
3,Shayne
1,Shayntia
1,Shaza
7,Shea
1,Sheaanna
1,Sheadin
1,Sheadyn
1,Sheena
1,Shehnaz
1,Shehnoor
2,Sheila
3,Shekinah
1,Shelbee
1,Shelbi
1,Shelbie
42,Shelby
1,ShelbyLynn
1,Shella
2,Shelley
1,Shellina
1,Shelly
1,Shenae
1,Shenayah
1,Shenelle
1,Shenesy
1,Shenika
1,Shenise
2,Shenoa
2,Sheral
1,Sheraton
4,Sheridan
1,SheriLyn
1,Sherilyn
1,Sherington
4,Sherry
1,Sheynell
2,Shian
2,Shianna
2,Shianne
1,Shiela
1,Shila
1,Shile
#,Baby Girl  Names
1,Shilo
1,Shilynn
1,Shima
1,Shiraya
1,Shirin
1,Shirléah
1,Shirley
2,Shivani
1,Shlaura
1,Shook
1,Shreeya
2,Shreya
1,Shriya
1,Shubhpreet
1,Shy
1,Shyan
4,Shyann
2,Shyanna
8,Shyanne
1,ShyeRayne
6,Shyla
1,Shylah
1,ShylaHope
1,Shylene
1,Shyler
1,Shylynn
1,Shyna
1,Si
1,Sian
3,Sianna
1,Sianne
1,Siara
1,Siddiqah
12,Sidney
3,Siena
5,Sienna
1,SiennaElisa
1,Siera
52,Sierra
1,Signey
1,Sigrid
1,Sihdney
1,Sila
1,Silence
1,Silke
1,Silvanna
2,Silvia
3,Simar
1,Simarjot
1,Simmone
14,Simone
#,Baby Girl  Names
5,Simran
1,Simrandeep
3,Simrat
1,Simrit
1,Simritpal
1,Sindreya
2,Sinead
2,Siobhan
1,Siren
1,Sirena
1,Sivan
1,Sivia
1,Skaidrite
4,Sky
6,Skye
1,Skyelar
1,SkyeshaLynn
5,Skyla
1,Skylah
11,Skylar
5,Skyler
1,Skylynn
1,Snowie
24,Sofia
1,Sofía
3,Sofie
1,Soha
1,Sol
1,Solace
1,Solaiya
1,Solanah
2,Solange
1,Solara
2,Solaya
1,Soleil
1,Solène
1,Solomia
1,Solyana
1,Sommer
7,Sonia
1,Sonilia
4,Sonja
1,Sonora
2,Sonya
75,Sophia
1,SophiaGrace
57,Sophie
1,Sora
2,Soraya
1,Soren
1,Sorida
#,Baby Girl  Names
1,Soulayah
1,Sousan
1,Sparrow
2,Spencer
1,Spesuly
2,Spirit
1,Spring
1,Sreoshi
4,Stacey
1,StaceyJane
1,Stacia
1,Stacie
3,Stacy
1,Stamatoula
2,Star
1,Starla
1,Starly
1,Stasha
1,Stavroula
1,Stefania
2,Stefanie
9,Stella
30,Stephanie
2,Stéphanie
2,Stephany
1,Stephenie
2,Sterling
2,Storm
1,Suhani
1,Sukhdeep
1,Sukhjivan
1,Sukhman
1,Sukhmandeep
1,Sukhmeen
1,Sukhneet
2,Sukhroop
1,Sukhsanjam
1,Sukhvir
1,Suki
1,Sulayka
1,Sumandeep
1,Sumaya
1,Sumera
1,Summaia
25,Summer
1,Sunday
1,Sunny
1,SunnyJean
1,Sunrise
1,Supreet
1,Suraya
#,Baby Girl  Names
1,Surbhi
1,Surleen
1,Surrenity
7,Susan
3,Susana
1,Susane
4,Susanna
1,Sushmi
1,Susie
1,Susy
1,Suzan
4,Suzanna
2,Suzanne
2,Suzy
1,Sweta
1,Syarra
1,Sydne
4,Sydnee
111,Sydney
3,Sydni
5,Sydnie
1,Syeda
1,Sykora
1,Sylvana
1,Sylver
5,Sylvia
1,Sylvie
1,Symara
1,Symone
1,Syrah
1,Sy'ria
1,Tabasum
1,Tabaya
1,Tabea
6,Tabitha
1,Tabyn
1,Tacey
1,Tacita
1,Taedum
1,Taegen
1,Taelan
1,Taelyn
2,Taeya
1,Tahira
1,Tahleah
2,Tahlia
1,Tahlica
3,Taia
1,Taigan
2,Taiha
2,Taija
#,Baby Girl  Names
1,Taijah
1,Taisha
1,Tait
1,Taitum
3,Taiya
1,Takara
1,Takdeer
1,Tal
1,Tala
1,Talaina
1,Talana
1,Talayla
1,Taleah
1,Talean
1,Talena
9,Talia
2,Taliah
1,Talisa
1,Talita
1,Talitha
2,Taliya
2,Taliyah
1,Tallulah
2,Talya
1,Talyssa
1,Talyssia
1,Talyza
1,Tamaica
1,Tamana
18,Tamara
1,Tamëka
1,Tamera
1,Tameya
2,Tamia
1,Tamiá
1,Tamieka
3,Tamika
5,Tammy
1,Tammyka
1,Tamra
1,Tamryn
1,Tamunah
1,Tanaya
1,Tancy
2,Tanea
1,Taneal
1,Taneille
1,Tanesha
1,Taneshia
1,Taneysha
1,Taniesha
#,Baby Girl  Names
2,Tanika
4,Tanis
4,Tanisha
1,Tanissa
1,Tanjeet
1,Tanlee
1,Tanroop
7,Tanya
1,Tanysha
1,Tanzi
13,Tara
1,Taranveer
1,TaraShay
1,Taren
1,Tarika
1,Tarini
1,Tarryl
1,Tarryn
20,Taryn
1,Taryne
2,Tasha
2,Tashina
3,Tasia
1,Tasja
1,Tasneem
1,Tasneen
1,Tate
1,Tatem
6,Tatiana
5,Tatianna
1,Tatium
10,Tatum
4,Tatyana
2,Tatyanna
2,Taurie
2,Tavia
1,Tavneet
1,Tawfiqa
1,Tawni
1,Tawon
15,Taya
3,Tayah
1,TayahMay
1,Taycee
1,Taye
1,Taygen
6,Tayla
1,TayLa
4,Tayler
152,Taylor
1,TaylorAnn
#,Baby Girl  Names
1,Taylynn
1,Tayn
1,Taysha
2,Taytum
1,Tayva
1,Tayvin
1,Tayyeba
1,Tayza
1,Tazeeb
3,Téa
28,Teagan
1,Teagen
6,Teaghan
1,Teah
1,Teala
5,Teanna
1,Teannia
1,Teeba
2,Teegan
1,Teeya
1,Tefide
8,Tegan
1,Teghan
1,Tehannah
1,Tehgan
1,Tehreem
1,Tehryn
5,Tehya
4,Teigan
1,Teige
1,Teija
1,Teilor
1,Tejanna
1,Tekarra
1,Tekaya
1,Tekla
1,Telleah
1,Tellisa
1,Tenaya
2,Tenesha
1,Tenika
1,Tenille
1,Tennessee
1,Tenniel
1,Tennielle
1,Tennley
1,Teona
1,Tera
1,Terah
1,Terece
9,Teresa
#,Baby Girl  Names
1,Terisa
3,Terri
1,Terrian
1,TerriLynn
1,Terrilynn
1,Terryanne
2,Terryn
1,Teryl
2,Teryn
1,Tesera
1,Tesha
1,Tesla
1,Teslin
1,Teslyn
4,Tess
16,Tessa
5,Teya
1,Teyanna
1,Teylynn
1,Thaila
5,Thalia
1,ThaliaMargarita
1,Thaliya
1,Thandeka
5,Thea
1,Théa
1,TheaBelle
1,Thealla
7,Theresa
1,Therese
1,Thespina
1,Theya
1,Thi
1,Thien
1,Thiessen
1,Thoranna
1,Thorra
1,ThuyJennifer
1,Thylana
16,Tia
1,TiaHanna
1,TiaLynn
1,Tian
13,Tiana
22,Tianna
1,TiannaLynn
1,Tiansheng
4,Tiara
1,Tiarah
2,Tiarra
1,Tiba
#,Baby Girl  Names
1,Tiel
1,Tien
1,Tiera
1,Tierlyn
1,Tierney
2,Tierra
1,Tiesha
14,Tiffany
1,Tiffayda
1,TihaLynn
1,Tilaya
1,Timeaka
1,Timeana
1,Timika
9,Tina
1,Tineka
1,Tinisha
1,Tinnea
1,Tiny
1,Tiramisu
1,Tirra
4,Tirzah
2,Tisha
1,Tishaya
1,Tiyah
1,Tiyana
1,Tiyra
1,T'Keyah
1,Tobi
1,Tobin
1,Toki
1,Tomiko
1,Tomilyn
1,Tommi
1,Tomoe
1,Tongtong
3,Toni
1,Tonia
2,Tooba
1,Tora
1,Torey
20,Tori
1,Torian
1,Torie
3,Torrance
1,Torree
1,Torrence
1,Torri
1,Torrie
2,Tory
1,Toya
#,Baby Girl  Names
1,Tracey
3,Tracy
1,Trae
1,TraetinLerae
1,Tralina
1,Tran
1,Trang
1,Trayven
2,Treasure
1,Trennah
1,Trenyse
2,Tressa
1,Treva
1,Trewin
1,Treyanna
1,Tricia
2,Trina
1,Trinelle
1,Trinidy
1,Triniti
69,Trinity
1,Trinnity
1,Trinyce
2,Tripat
2,Trisha
1,Trishtin
12,Trista
2,Tristan
1,Tristanne
2,Tristen
1,Tristene
3,Tristin
2,Tristyn
1,Trivy
2,Tru
6,Trudy
1,Trula
1,Trussan
1,Trynity
1,Trysta
1,Trystan
1,Trystin
1,Trystyn
1,Tsunaya
1,Tulita
1,Tunisja
1,Turee
2,Tuscany
1,Tvisha
1,Twyla
1,Tyahna
#,Baby Girl  Names
2,Tyana
1,Tyanna
1,Tyanne
1,Tyare
1,Tycee
1,Tyeka
1,Tyera
1,Tyisha
1,Tyla
3,Tylee
1,Tyleen
1,Tylena
3,Tyler
1,TylerAnn
1,Tymena
12,Tyra
1,Tyreen
1,Tyrena
1,Ulahnda
1,Uma
1,Ume
1,Una
1,Unice
2,Unique
1,Uyen
2,Vada
1,Vaishnavi
2,Valencia
5,Valentina
2,Valeria
11,Valerie
1,Valiene
1,Valintina
1,Vallerie
1,Van
1,Vanda
1,Vanesa
25,Vanessa
1,Vani
1,Vanna
1,Vannessa
1,Varinka
1,Varunpreet
1,Veeonna
1,Vegas
1,Vena
1,Venessa
1,Vennesa
2,Vera
2,Verity
19,Veronica
#,Baby Girl  Names
1,Véronique
1,Vianna
1,Vianne
1,Vicky
60,Victoria
1,Victory
1,Victorya
8,Vienna
1,Viktoria
1,Viola
3,Violet
2,Violette
4,Virginia
8,Vivian
1,Viviana
1,Viviane
1,Vivica
1,Viviene
2,Vivienne
1,Vjosa
2,Vy
1,Wafaa
1,Wajeeha
1,Warishah
1,Warsan
1,Waverlee
1,Waverly
1,Weam
1,Wendy
1,Werda
1,Whitec
5,Whitney
1,Wijdan
16,Willow
1,Winnie
2,Winnifred
1,Winter
2,Wren
1,Wudasay
1,Wylie
1,Wynter
1,Xaena
1,Xanaca
1,Xaydee
1,Xiao
1,Xica
1,Xien
1,Xondra
1,Xue
1,Xyieda
1,Xylia
#,Baby Girl  Names
1,Yabsira
1,Yahaira
1,Yaisha
1,Yamina
1,Yanna
2,Yara
1,Yaren
1,Yasemin
1,Yashwi
4,Yasmeen
2,Yasmin
2,Yasmine
1,Yazmeen
1,Yazmine
2,Yeahlina
1,Yeira
1,Yekta
2,Yen
1,Yesha
1,Yeshe
1,Yessenia
1,Yma
2,Yolanda
1,Yousra
1,Ysabelle
1,Yshien
1,Yukine
1,Yukino
1,Yumna
1,Yumnaa
1,Yuqiao
1,Zada
1,Zahide
1,Zahira
2,Zahra
2,Zahraa
1,Zaidee
1,Zain
2,Zaina
7,Zainab
1,Zaineb
1,Zainub
1,Zakiah
1,Zakirah
1,Zakiya
1,Zalena
1,Zalia
1,Zandra
1,Zane
1,Zaneb
1,Zantelle
#,Baby Girl  Names
3,Zara
1,Zayda
1,Zaydence
2,Zaynab
1,Zéa
1,Zeda
1,Zeinab
3,Zena
1,Zenia
1,Zenny
1,Zenovya
1,Zephyr
1,Zereah
1,Zereta
1,Zeyneb
1,Zhara
1,Zhongxin
1,Zia
1,Zinab
1,Zobel
64,Zoe
2,Zoé
14,Zoë
1,Zoee
1,ZoeJhaye
12,Zoey
1,Zofia
2,Zoha
4,Zoie
1,Zona
1,Zoona
1,Zoraida
1,Zorra
1,Zowie
3,Zoya
1,Zubaida
1,Zubayda
1,Zully
1,Zuri
1,Zya
